Word_Count,Number_of_Sentence,Unique_Words,Average_Word_Length,Label
10,4,24,6.176749717,1
10,8,25,5.826769957,1
10,7,18,4.619039519,1
10,6,18,4.961423797,1
10,4,21,4.114323585,1
39,5,16,4.582873768,1
11,4,21,5.756046145,1
11,5,21,4.502689886,1
11,6,24,3.943671991,1
11,8,19,5.41906807,1
11,7,18,5.354000533,1
11,6,21,6.423073953,1
11,4,18,4.092476922,1
11,9,24,5.636306913,1
69,7,15,5.701357872,1
12,7,22,3.173264901,1
12,8,19,3.797878122,1
12,7,21,6.903405999,1
12,7,24,4.786232788,1
12,6,17,3.349797408,1
12,5,15,6.776365662,1
12,5,16,6.576531113,1
12,4,16,5.348672436,1
12,4,21,6.692088895,1
12,4,22,6.308684573,1
85,5,25,4.170042259,1
13,7,19,5.321045314,1
13,9,16,5.083260305,1
13,7,25,3.546896979,1
13,7,19,3.626310986,1
13,4,15,4.666842717,1
13,9,15,6.753959173,1
13,8,17,4.099134496,1
13,4,22,4.464200555,1
14,7,22,6.996748667,1
94,5,25,6.956861797,1
14,6,16,4.585493806,1
14,8,17,3.32457185,1
14,8,18,6.549348816,1
14,4,22,4.693376519,1
14,5,19,4.390857772,1
27,5,23,4.194186258,1
14,5,24,4.101495298,1
14,6,25,6.963918772,1
14,6,22,6.678238842,1
14,4,25,4.623958315,1
14,4,15,4.665281534,1
28,5,22,6.647107331,1
15,8,15,4.674833191,1
15,6,17,3.0167708,1
15,8,20,4.214488325,1
15,8,18,5.728688264,1
15,5,19,6.39075132,1
15,7,16,4.783588039,1
42,4,19,6.223445894,1
15,7,24,3.939250823,1
15,5,23,6.545004621,1
15,6,20,5.367199633,1
15,8,15,5.491922321,1
15,9,18,3.514682488,1
15,5,22,6.195448375,1
15,8,21,5.128071477,1
15,9,23,4.307888683,1
38,7,20,4.856272067,1
20,5,24,6.484390141,1
32,8,25,5.660075699,1
36,9,16,4.314407419,1
62,7,18,3.951185584,1
24,6,20,5.089488698,1
36,9,17,5.159520423,1
24,6,16,3.941799914,1
36,9,25,4.119540872,1
16,6,18,4.826199911,1
39,7,18,6.092643063,1
16,9,23,4.760613277,1
16,8,15,3.52340583,1
55,7,20,5.284813457,1
89,9,17,6.616940395,1
16,7,24,4.412414354,1
36,9,22,3.096428819,1
16,8,16,5.936205915,1
16,6,25,3.354380771,1
60,8,18,3.863967463,1
16,7,19,6.123158206,1
16,8,18,3.191831736,1
16,4,24,3.499504377,1
16,4,19,4.66647932,1
66,5,24,6.860178652,1
55,9,24,6.319647407,1
17,6,24,5.896715997,1
17,8,18,3.475124108,1
17,8,23,4.879987841,1
17,6,22,5.283010047,1
17,7,18,4.828332254,1
17,8,17,6.064956873,1
17,6,25,6.162778526,1
17,4,25,5.611433522,1
17,5,20,5.675734165,1
57,9,23,5.460484991,1
18,6,19,6.488602152,1
18,4,24,6.444813409,1
18,8,20,3.836483907,1
18,8,18,5.554324418,1
58,9,22,6.148520646,1
18,8,25,6.9590683,1
18,8,25,4.314794578,1
19,4,17,6.969948979,1
19,8,17,3.382293243,1
19,6,24,6.771427996,1
19,6,21,4.29981469,1
19,7,17,5.143286588,1
19,5,18,3.470494907,1
59,9,17,6.587786756,1
19,5,23,5.678404444,1
19,8,23,4.122307246,1
19,5,15,6.447589478,1
48,9,24,6.41485482,1
24,6,18,5.16758171,1
36,9,23,4.370442164,1
16,4,21,3.553904483,1
36,9,25,6.935785698,1
36,9,22,3.356391501,1
16,4,15,6.823452754,1
48,9,17,6.159741541,1
28,7,17,5.354614053,1
36,9,16,6.689390629,1
51,9,16,4.98346854,1
66,9,25,5.578598182,1
44,9,25,5.895858525,1
20,5,21,4.717620587,1
16,4,16,4.949003045,1
16,4,18,5.978105112,1
24,6,17,4.236405433,1
20,4,18,5.602270615,1
20,7,20,3.179992389,1
20,7,24,5.900039412,1
20,9,21,3.049284674,1
20,8,20,6.578762802,1
44,9,24,5.071453404,1
20,6,16,6.18326827,1
20,6,24,4.819939372,1
20,9,18,3.883099739,1
20,5,21,6.476633352,1
20,5,21,5.797077862,1
21,8,17,5.340090715,1
21,7,23,3.923785132,1
21,4,20,3.182946726,1
34,5,20,3.37217216,0
56,11,50,4.830154056,0
68,7,17,5.249576242,0
45,14,42,3.73836479,0
78,4,35,6.968151483,0
72,14,21,5.44145789,0
21,7,19,6.788788523,1
13,4,5,6.781345444,0
68,15,32,6.003377378,0
52,8,16,4.794084423,0
19,12,40,4.900169025,0
53,10,41,4.427114834,0
38,6,45,6.247981054,0
16,12,13,3.423686787,0
86,10,18,6.255257089,0
21,7,18,3.213666383,1
86,12,10,4.618956257,0
59,4,14,6.011346536,0
21,7,20,4.943745006,1
21,7,17,5.299303725,1
71,14,32,6.116328029,0
43,10,37,4.567234636,0
97,11,39,6.506125589,0
72,12,26,5.252573979,0
11,8,6,4.405847764,0
21,7,16,3.027285234,1
44,9,16,5.090230259,1
21,6,25,3.644559705,1
21,6,24,6.390055673,1
21,6,22,6.471944359,1
22,9,20,5.923281493,1
22,6,18,4.360313552,1
22,7,21,6.37118232,1
22,8,20,5.66931295,1
22,8,16,6.867037066,1
22,8,22,4.718086591,1
22,7,19,3.595402955,1
22,7,19,6.041432176,1
22,7,19,5.894898788,1
22,7,21,3.510876317,1
22,6,22,6.998589882,1
22,7,21,3.033196019,1
22,9,16,4.779929651,1
22,5,17,5.214168587,1
22,5,21,4.848214958,1
22,4,20,4.050558252,1
23,8,18,6.559658155,1
23,5,16,4.091862979,1
23,8,16,4.078534738,1
23,7,23,4.930291763,1
23,7,18,6.05645848,1
23,8,23,6.347529113,1
23,4,15,3.161031284,1
